도서관 목록,,,,,,,,,
번호,구분,지역,시군구,도서관명,도서관부호,도서관코드
237,공공(일반),대구,북구,2010,2013,,해오름 도서관,141232,2030122004
238,공공(일반),대구,북구,2009,,,구수산도서관,127009,2060122003
241,공공(일반),대구,달서구,2006,,,달서도원도서관,127001,2060122001
242,공공(일반),대구,달서구,2011,,,달서본리도서관,127012,2060122006
243,공공(일반),대구,달서구,2003,,,대구학생문화센터,122013,2050122012
244,공공(일반),대구,수성구,2014,,,수성 파동어린이도서관,127019,2060122010
245,공공(일반),대구,달성군,1991,,,대구달성도서관,122011,2050122011
246,공공(일반),인천,계양구,2010,,,동양도서관,128023,2060123009
247,공공(일반),인천,계양구,2004,,,인천 계양도서관,123009,2050123007
248,공공(일반),인천,계양구,2009,,,서운도서관,128012,2060123008
249,공공(일반),인천,계양구,2013,,,작전도서관,128039,2060123019
250,공공(일반),인천,계양구,2008,,,효성도서관,128013,2060123005
251,공공(일반),인천,부평구,2012,,,삼산도서관,128056,2060123013
252,공공(일반),인천,부평구,1991,,,인천 북구도서관,123003,2050123001
253,공공(일반),인천,부평구,2013,,,청천도서관,128085,2060123017
254,공공(일반),인천,부평구,1982,,,인천 부평도서관,123002,2050123003
255,공공(일반),인천,부평구,2012,,,부평부개도서관,128057,2060123016
256,공공(일반),인천,남동구,1983,,,인천 중앙도서관,123006,2050123002
257,공공(일반),인천,남동구,1922,,,인천미추홀도서관,123001,2060123001
258,공공(일반),인천,남동구,2014,,,서창도서관,128050,2060123021
259,공공(일반),인천,남동구,2014,,,소래도서관,128049,2060123020
260,공공(일반),인천,연수구,2018,,,선학별빛도서관,128104,2060123029
261,공공(일반),인천,연수구,2020,,,함박비류도서관,128109,2060123032
262,공공(일반),인천,연수구,2004,,,인천 연수도서관,123010,2050123008
263,공공(일반),인천,연수구,2012,,,연수청학도서관,128058,2060123014
264,공공(일반),인천,연수구,2016,,,해돋이도서관,128099,2060123027
265,공공(일반),인천,남구,2009,,,인천 수봉도서관,128017,2060123007
266,공공(일반),인천,남구,2019,,,용비도서관,128105,2060123030
267,공공(일반),인천,남구,2007,,,인천 학나래도서관,128009,2060123004
268,공공(일반),인천,중구,2013,,,인천 중구  꿈벗도서관,128061,2060123018
269,공공(일반),인천,중구,2009,,,인천 영종도서관,128015,2060123006
270,공공(일반),인천,동구,1988,,,인천 화도진도서관,123007,2050123005
271,공공(일반),인천,동구,2011,,,송림도서관,128051,2060123012
272,공공(일반),인천,서구,2004,,,검단도서관,128001,2060823014
273,공공(일반),인천,서구,2019,,,인천마전도서관,128107,2060123031
274,공공(일반),인천,서구,2017,,,검암도서관,128102,2060123028
275,공공(일반),인천,서구,2010,,,심곡도서관,128024,2060823015
276,공공(일반),인천,서구,2015,,,청라국제도서관,128096,2060123024
277,공공(일반),인천,서구,2015,,,청라호수도서관,128097,2060123026
278,공공(일반),인천,서구,2012,,,신석도서관,128055,2060123015
279,공공(일반),인천,서구,2008,,,석남도서관,128008,2060823013
280,공공(일반),인천,서구,1991,,,인천 서구도서관,123004,2050123006
281,공공(일반),인천,강화군,2014,,,내가공공도서관,128037,2060123022
282,공공(일반),인천,강화군,1994,,,강화군립도서관,123008,2060123002
283,공공(일반),인천,중구,2011,,,인천 율목도서관,128046,2060123010
284,공공(일반),인천,중구,2015,,,영종하늘도서관,128098,2060123025
285,공공(일반),인천,남구,1990,,,인천 주안도서관,123005,2050123004
286,공공(일반),인천,부평구,2011,,,갈산도서관,128040,2060123011
287,공공(일반),인천,연수구,2015,,인천광역시 송도국제기구도서관,송도국제어린이도서관,128047,2060123023
288,공공(일반),인천,옹진군,2000,,,백령도서관,128006,2060123003
289,공공(일반),광주,북구,1981,,,광주무등도서관,124003,2060124001
290,공공(일반),광주,북구,2014,,,광주중앙도서관 분관 석봉도서관,129221,2050124006
291,공공(일반),광주,동구,1997,,,광주산수도서관,124008,2060124003
292,공공(일반),광주,동구,1991,,,광주중앙도서관,124002,2050124001
293,공공(일반),광주,서구,2000,,,글마루 작은도서관(광주서구),129110,2060124004
294,공공(일반),광주,서구,1967,,,광주학생독립운동기념회관,124005,2050124002
295,공공(일반),광주,남구,2014,,,남구푸른길도서관,129219,2060824004
296,공공(일반),광주,광산구,2006,,,첨단도서관,129002,2060124007
297,공공(일반),광주,북구,2000,,,광주북구일곡도서관,124010,2060124005
298,공공(일반),광주,북구,2012,,,광주북구운암도서관,129131,2060124011
299,공공(일반),광주,동구,2008,,,계림꿈나무도서관,129003,2060124009
300,공공(일반),광주,남구,1996,,,금호평생교육관,124007,2050124003
301,공공(일반),광주,남구,1989,,,광주사직도서관,124004,2060124002
302,공공(일반),광주,남구,2017,,,남구 청소년도서관,129224,2060124015
303,공공(일반),광주,남구,2003,,,광주남구문화정보도서관,124012,2060124008
